timestamp,uav_id,x,y,z,vx,vy,vz,speed
9.1,30,127.4128,29.4019,23.8984,-27.2809,6.1857,-0.3213,27.9752
9.1,31,79.2552,166.931,25.3881,-14.3647,8.0297,-21.7536,27.2771
9.1,32,145.8331,111.5546,26.3583,-11.9367,0.6576,3.3028,12.4027
9.1,33,31.7869,72.6621,7.0171,8.746,-4.2517,-1.3991,9.8248
9.1,34,9.6329,123.7873,38.1618,-10.238,1.403,11.8652,15.7343
9.1,35,31.2085,7.3026,33.097,-27.7209,-2.5547,4.9105,28.2681
9.1,36,152.8927,193.138,4.1278,15.0574,-12.9946,-16.5147,25.8519
9.1,37,107.214,108.2038,13.678,7.1923,-15.8605,17.9025,24.9756
9.1,38,25.9578,156.924,37.6949,1.9254,29.7742,1.6652,29.8829
9.1,39,85.7281,1.1568,5.2983,7.0239,0.5717,-11.296,13.3139
9.1,40,37.5713,108.6142,23.7639,-10.2292,-10.8246,2.9903,15.1905
9.1,41,145.2088,106.3579,40.4144,0.5689,-0.8388,6.1877,6.2702
9.1,42,87.1111,189.3971,14.0176,-23.4545,-8.0879,18.6907,31.0624
9.1,43,86.2484,134.6619,40.1722,4.3791,17.5944,-13.2775,22.4729
9.1,44,55.4482,106.9831,36.3907,-0.5969,-10.978,8.5764,13.9437
9.1,45,107.5188,46.5151,5.0348,-2.6607,-4.8067,-4.4697,7.0825
9.1,46,66.0838,74.5785,23.6669,-24.2839,-10.5145,3.5703,26.7023
9.1,47,15.0093,102.2959,22.7301,17.8821,-20.7159,2.2919,27.4621
9.1,48,3.4539,80.6221,20.1545,3.7408,-17.1179,-17.8115,24.9854
9.1,49,197.9618,4.4913,21.3436,-4.865,-8.5858,-5.1112,11.1134
9.2,0,46.399,180.9683,9.754,16.6843,-6.3427,12.2005,21.6206
9.2,1,0.9106,153.0064,32.2535,-0.08,21.2809,9.732,23.4008
9.2,2,180.7602,32.975,2.5813,7.7331,-23.2876,10.7235,26.7788
9.2,3,114.3273,179.9371,26.8598,-4.5194,-7.9084,-11.9974,15.0634
